# laser_deposition ray paths
# step 0 time 6.91752681e-17 ray_stride 16 ray_step_stride 40
# one row per recorded point; rows are grouped by ray and ordered along the march
# P [W] is the power still carried; ne [m^-3] is at the point; turned = 1 on the step the near-critical specular branch fired
# iray istep x z P ne turned
0 3880 -2.67725273e-05 1.03046997e-04 1.64120452e-16 0.00000000e+00 0
0 3920 -2.67725273e-05 1.02209046e-04 1.64120452e-16 0.00000000e+00 0
0 3960 -2.67725273e-05 1.01371095e-04 1.64120452e-16 0.00000000e+00 0
0 4000 -2.67725273e-05 1.00533144e-04 1.64120452e-16 0.00000000e+00 0
0 4040 -2.67725273e-05 9.96951935e-05 1.64120452e-16 0.00000000e+00 0
0 4080 -2.67725273e-05 9.88572427e-05 1.64120452e-16 0.00000000e+00 0
0 4120 -2.67725273e-05 9.80192919e-05 1.64120452e-16 0.00000000e+00 0
0 4160 -2.67725273e-05 9.71813412e-05 1.64120452e-16 0.00000000e+00 0
0 4200 -2.67725273e-05 9.63433904e-05 1.64120452e-16 0.00000000e+00 0
0 4240 -2.67725273e-05 9.55054396e-05 1.64120452e-16 0.00000000e+00 0
0 4280 -2.67725273e-05 9.46674888e-05 1.64120452e-16 0.00000000e+00 0
0 4320 -2.67725273e-05 9.38295381e-05 1.64120452e-16 0.00000000e+00 0
0 4360 -2.67725273e-05 9.29915873e-05 1.64120452e-16 0.00000000e+00 0
0 4400 -2.67725273e-05 9.21536365e-05 1.64120452e-16 0.00000000e+00 0
0 4440 -2.67725273e-05 9.13156857e-05 1.64120452e-16 0.00000000e+00 0
0 4480 -2.67725273e-05 9.04777350e-05 1.64120452e-16 0.00000000e+00 0
0 4520 -2.67725273e-05 8.96397842e-05 1.64120452e-16 0.00000000e+00 0
0 4560 -2.67725273e-05 8.88018334e-05 1.64120452e-16 0.00000000e+00 0
0 4600 -2.67725273e-05 8.79638826e-05 1.64120452e-16 0.00000000e+00 0
0 4640 -2.67725273e-05 8.71259319e-05 1.64120452e-16 0.00000000e+00 0
0 4680 -2.67725273e-05 8.62879811e-05 1.64120452e-16 0.00000000e+00 0
0 4720 -2.67725273e-05 8.54500303e-05 1.64120452e-16 0.00000000e+00 0
0 4760 -2.67725273e-05 8.46120795e-05 1.64120452e-16 0.00000000e+00 0
0 4800 -2.67725273e-05 8.37741288e-05 1.64120452e-16 0.00000000e+00 0
0 4840 -2.67725273e-05 8.29361780e-05 1.64120452e-16 0.00000000e+00 0
0 4880 -2.67725273e-05 8.20982272e-05 1.64120452e-16 0.00000000e+00 0
0 4920 -2.67725273e-05 8.12602764e-05 1.64120452e-16 0.00000000e+00 0
0 4960 -2.67725273e-05 8.04223257e-05 1.64120452e-16 0.00000000e+00 0
0 5000 -2.67725273e-05 7.95843749e-05 1.64120452e-16 0.00000000e+00 0
0 5040 -2.67725273e-05 7.87464241e-05 1.64120452e-16 0.00000000e+00 0
0 5080 -2.67725273e-05 7.79084733e-05 1.64120452e-16 0.00000000e+00 0
0 5120 -2.67725273e-05 7.70705226e-05 1.64120452e-16 0.00000000e+00 0
0 5160 -2.67725273e-05 7.62325718e-05 1.64120452e-16 0.00000000e+00 0
0 5200 -2.67725273e-05 7.53946210e-05 1.64120452e-16 0.00000000e+00 0
0 5240 -2.67725273e-05 7.45566702e-05 1.64120452e-16 0.00000000e+00 0
0 5280 -2.67725273e-05 7.37187195e-05 1.64120452e-16 0.00000000e+00 0
0 5320 -2.67725273e-05 7.28807687e-05 1.64120452e-16 0.00000000e+00 0
0 5360 -2.67725273e-05 7.20428179e-05 1.64120452e-16 0.00000000e+00 0
0 5400 -2.67725273e-05 7.12048671e-05 1.64120452e-16 0.00000000e+00 0
0 5440 -2.67725273e-05 7.03669164e-05 1.64120452e-16 0.00000000e+00 0
0 5480 -2.67725273e-05 6.95289656e-05 1.64120452e-16 0.00000000e+00 0
0 5520 -2.67725273e-05 6.86910148e-05 1.64120452e-16 0.00000000e+00 0
0 5560 -2.67725273e-05 6.78530640e-05 1.64120452e-16 0.00000000e+00 0
0 5600 -2.67725273e-05 6.70151133e-05 1.64120452e-16 0.00000000e+00 0
0 5640 -2.67725273e-05 6.61771625e-05 1.64120452e-16 0.00000000e+00 0
0 5680 -2.67725273e-05 6.53392117e-05 1.64120452e-16 0.00000000e+00 0
0 5720 -2.67725273e-05 6.45012609e-05 1.64120452e-16 0.00000000e+00 0
0 5760 -2.67725273e-05 6.36633102e-05 1.64120452e-16 0.00000000e+00 0
0 5800 -2.67725273e-05 6.28253594e-05 1.64120452e-16 0.00000000e+00 0
0 5840 -2.67725273e-05 6.19874086e-05 1.64120452e-16 0.00000000e+00 0
0 5880 -2.67725273e-05 6.11494578e-05 1.64120452e-16 0.00000000e+00 0
0 5920 -2.67725273e-05 6.03115071e-05 1.64120452e-16 0.00000000e+00 0
0 5960 -2.67725273e-05 5.94735563e-05 1.64120452e-16 0.00000000e+00 0
0 6000 -2.67725273e-05 5.86356055e-05 1.64120452e-16 0.00000000e+00 0
0 6040 -2.67725273e-05 5.77976547e-05 1.64120452e-16 0.00000000e+00 0
0 6080 -2.67725273e-05 5.69597040e-05 1.64120452e-16 0.00000000e+00 0
0 6120 -2.67725273e-05 5.61217532e-05 1.64120452e-16 0.00000000e+00 0
0 6160 -2.67725273e-05 5.52838024e-05 1.64120452e-16 0.00000000e+00 0
0 6200 -2.67725273e-05 5.44458516e-05 1.64120452e-16 0.00000000e+00 0
0 6240 -2.67725273e-05 5.36079009e-05 1.64120452e-16 0.00000000e+00 0
0 6280 -2.67725273e-05 5.27699501e-05 1.64120452e-16 0.00000000e+00 0
0 6320 -2.67725273e-05 5.19319993e-05 1.64120452e-16 0.00000000e+00 0
0 6360 -2.67725273e-05 5.10940485e-05 1.64120452e-16 0.00000000e+00 0
0 6400 -2.67725273e-05 5.02560978e-05 1.64120452e-16 0.00000000e+00 0
