# refraction=1, step 0, on-axis |x|<5 d_e
# z/d_e   P_abs [W/m^3]   n_e/n_cr
-1.1475000e+02  0.0000000e+00  1.4999043e+00
-1.1425000e+02  0.0000000e+00  1.4996367e+00
-1.1375000e+02  0.0000000e+00  1.4997641e+00
-1.1325000e+02  0.0000000e+00  1.4996162e+00
-1.1275000e+02  0.0000000e+00  1.4996990e+00
-1.1225000e+02  0.0000000e+00  1.4997439e+00
-1.1175000e+02  0.0000000e+00  1.4997903e+00
-1.1125000e+02  0.0000000e+00  1.4999905e+00
-1.1075000e+02  0.0000000e+00  1.4997755e+00
-1.1025000e+02  0.0000000e+00  1.4998314e+00
-1.0975000e+02  0.0000000e+00  1.4996200e+00
-1.0925000e+02  0.0000000e+00  1.4996188e+00
-1.0875000e+02  0.0000000e+00  1.4999845e+00
-1.0825000e+02  0.0000000e+00  1.4995943e+00
-1.0775000e+02  0.0000000e+00  1.5000281e+00
-1.0725000e+02  0.0000000e+00  1.4996247e+00
-1.0675000e+02  0.0000000e+00  1.4997275e+00
-1.0625000e+02  0.0000000e+00  1.4996092e+00
-1.0575000e+02  0.0000000e+00  1.5001399e+00
-1.0525000e+02  0.0000000e+00  1.4996976e+00
-1.0475000e+02  0.0000000e+00  1.4999006e+00
-1.0425000e+02  0.0000000e+00  1.4998151e+00
-1.0375000e+02  0.0000000e+00  1.4994865e+00
-1.0325000e+02  0.0000000e+00  1.4996179e+00
-1.0275000e+02  0.0000000e+00  1.4998464e+00
-1.0225000e+02  0.0000000e+00  1.4998221e+00
-1.0175000e+02  0.0000000e+00  1.4998674e+00
-1.0125000e+02  0.0000000e+00  1.4997003e+00
-1.0075000e+02  0.0000000e+00  1.4999052e+00
-1.0025000e+02  0.0000000e+00  1.4998886e+00
-9.9750000e+01  0.0000000e+00  1.4997418e+00
-9.9250000e+01  0.0000000e+00  1.4997397e+00
-9.8750000e+01  0.0000000e+00  1.4996150e+00
-9.8250000e+01  0.0000000e+00  1.4999937e+00
-9.7750000e+01  0.0000000e+00  1.4999917e+00
-9.7250000e+01  0.0000000e+00  1.4998035e+00
-9.6750000e+01  0.0000000e+00  1.4997030e+00
-9.6250000e+01  0.0000000e+00  1.4998355e+00
-9.5750000e+01  0.0000000e+00  1.4998701e+00
-9.5250000e+01  0.0000000e+00  1.4997886e+00
-9.4750000e+01  0.0000000e+00  1.4994090e+00
-9.4250000e+01  0.0000000e+00  1.4998598e+00
-9.3750000e+01  0.0000000e+00  1.4999505e+00
-9.3250000e+01  0.0000000e+00  1.4995297e+00
-9.2750000e+01  0.0000000e+00  1.4998240e+00
-9.2250000e+01  0.0000000e+00  1.4999667e+00
-9.1750000e+01  0.0000000e+00  1.4997301e+00
-9.1250000e+01  0.0000000e+00  1.4997405e+00
-9.0750000e+01  0.0000000e+00  1.4999519e+00
-9.0250000e+01  0.0000000e+00  1.4998293e+00
-8.9750000e+01  0.0000000e+00  1.4997541e+00
-8.9250000e+01  0.0000000e+00  1.4995808e+00
-8.8750000e+01  0.0000000e+00  1.4998323e+00
-8.8250000e+01  0.0000000e+00  1.4995726e+00
-8.7750000e+01  0.0000000e+00  1.4998340e+00
-8.7250000e+01  0.0000000e+00  1.4998852e+00
-8.6750000e+01  0.0000000e+00  1.4994492e+00
-8.6250000e+01  0.0000000e+00  1.5001152e+00
-8.5750000e+01  0.0000000e+00  1.4998263e+00
-8.5250000e+01  0.0000000e+00  1.4996020e+00
-8.4750000e+01  0.0000000e+00  1.4998207e+00
-8.4250000e+01  0.0000000e+00  1.4997185e+00
-8.3750000e+01  0.0000000e+00  1.4997780e+00
-8.3250000e+01  0.0000000e+00  1.5000125e+00
-8.2750000e+01  0.0000000e+00  1.4999069e+00
-8.2250000e+01  0.0000000e+00  1.4994598e+00
-8.1750000e+01  0.0000000e+00  1.4999107e+00
-8.1250000e+01  0.0000000e+00  1.4997902e+00
-8.0750000e+01  0.0000000e+00  1.4998215e+00
-8.0250000e+01  0.0000000e+00  1.4996112e+00
-7.9750000e+01  0.0000000e+00  1.4996807e+00
-7.9250000e+01  0.0000000e+00  1.4999478e+00
-7.8750000e+01  0.0000000e+00  1.4998343e+00
-7.8250000e+01  0.0000000e+00  1.4997752e+00
-7.7750000e+01  0.0000000e+00  1.4996860e+00
-7.7250000e+01  0.0000000e+00  1.4997063e+00
-7.6750000e+01  0.0000000e+00  1.4999280e+00
-7.6250000e+01  0.0000000e+00  1.5000234e+00
-7.5750000e+01  0.0000000e+00  1.4994634e+00
-7.5250000e+01  0.0000000e+00  1.5000934e+00
-7.4750000e+01  0.0000000e+00  1.4994037e+00
-7.4250000e+01  0.0000000e+00  1.4998011e+00
-7.3750000e+01  0.0000000e+00  1.4998319e+00
-7.3250000e+01  0.0000000e+00  1.4997792e+00
-7.2750000e+01  0.0000000e+00  1.4996965e+00
-7.2250000e+01  0.0000000e+00  1.4996929e+00
-7.1750000e+01  0.0000000e+00  1.5000877e+00
-7.1250000e+01  0.0000000e+00  1.4994309e+00
-7.0750000e+01  0.0000000e+00  1.4999017e+00
-7.0250000e+01  0.0000000e+00  1.5000169e+00
-6.9750000e+01  0.0000000e+00  1.4991068e+00
-6.9250000e+01  0.0000000e+00  1.5002524e+00
-6.8750000e+01  0.0000000e+00  1.4996894e+00
-6.8250000e+01  0.0000000e+00  1.4997117e+00
-6.7750000e+01  0.0000000e+00  1.4997545e+00
-6.7250000e+01  0.0000000e+00  1.4994616e+00
-6.6750000e+01  0.0000000e+00  1.5001170e+00
-6.6250000e+01  0.0000000e+00  1.4997666e+00
-6.5750000e+01  0.0000000e+00  1.4999018e+00
-6.5250000e+01  0.0000000e+00  1.4996769e+00
-6.4750000e+01  0.0000000e+00  1.4996974e+00
-6.4250000e+01  0.0000000e+00  1.4998478e+00
-6.3750000e+01  0.0000000e+00  1.4996942e+00
-6.3250000e+01  0.0000000e+00  1.4997118e+00
-6.2750000e+01  0.0000000e+00  1.4998275e+00
-6.2250000e+01  0.0000000e+00  1.4999745e+00
-6.1750000e+01  0.0000000e+00  1.4995407e+00
-6.1250000e+01  0.0000000e+00  1.4997553e+00
-6.0750000e+01  0.0000000e+00  1.4996580e+00
-6.0250000e+01  0.0000000e+00  1.5000504e+00
-5.9750000e+01  0.0000000e+00  1.4998384e+00
-5.9250000e+01  0.0000000e+00  1.5000709e+00
-5.8750000e+01  0.0000000e+00  1.4994301e+00
-5.8250000e+01  0.0000000e+00  1.4999012e+00
-5.7750000e+01  0.0000000e+00  1.4997357e+00
-5.7250000e+01  0.0000000e+00  1.4999743e+00
-5.6750000e+01  0.0000000e+00  1.4994503e+00
-5.6250000e+01  0.0000000e+00  1.4996768e+00
-5.5750000e+01  0.0000000e+00  1.5001048e+00
-5.5250000e+01  0.0000000e+00  1.4997032e+00
-5.4750000e+01  0.0000000e+00  1.4999052e+00
-5.4250000e+01  0.0000000e+00  1.4997255e+00
-5.3750000e+01  0.0000000e+00  1.4995959e+00
-5.3250000e+01  0.0000000e+00  1.4995270e+00
-5.2750000e+01  0.0000000e+00  1.4999494e+00
-5.2250000e+01  0.0000000e+00  1.5000675e+00
-5.1750000e+01  0.0000000e+00  1.4996980e+00
-5.1250000e+01  0.0000000e+00  1.4999169e+00
-5.0750000e+01  0.0000000e+00  1.4996640e+00
-5.0250000e+01  0.0000000e+00  1.4996738e+00
-4.9750000e+01  0.0000000e+00  1.4998897e+00
-4.9250000e+01  0.0000000e+00  1.4999277e+00
-4.8750000e+01  0.0000000e+00  1.5000028e+00
-4.8250000e+01  0.0000000e+00  1.4995901e+00
-4.7750000e+01  0.0000000e+00  1.4999829e+00
-4.7250000e+01  0.0000000e+00  1.4996780e+00
