# x/d_e   z_crit(t=0)/d_e   z_crit(t_end)/d_e
   -27.25000     38.25000     17.25000
   -26.75000     37.75000     17.25000
   -26.25000     37.75000     17.25000
   -25.75000     37.75000     15.75000
   -25.25000     37.75000     15.75000
   -24.75000     37.75000     15.75000
   -24.25000     37.75000     17.25000
   -23.75000     37.75000     15.25000
   -23.25000     37.75000     14.75000
   -22.75000     37.75000     15.75000
   -22.25000     37.75000     13.25000
   -21.75000     37.75000     14.25000
   -21.25000     37.75000     14.25000
   -20.75000     37.75000     13.75000
   -20.25000     37.75000     14.25000
   -19.75000     37.75000     13.25000
   -19.25000     37.75000     12.25000
   -18.75000     37.75000     13.25000
   -18.25000     37.75000     11.25000
   -17.75000     37.75000      9.25000
   -17.25000     37.75000      3.25000
   -16.75000     37.75000      1.25000
   -16.25000     37.75000      1.25000
   -15.75000     37.75000      1.75000
   -15.25000     37.75000      0.75000
   -14.75000     37.75000      6.75000
   -14.25000     37.75000      0.25000
   -13.75000     37.75000      4.75000
   -13.25000     37.75000      7.75000
   -12.75000     37.75000      0.75000
   -12.25000     37.75000      0.25000
   -11.75000     38.25000      0.75000
   -11.25000     37.75000      2.75000
   -10.75000     37.75000      0.75000
   -10.25000     37.75000      4.25000
    -9.75000     37.75000      2.25000
    -9.25000     37.75000      3.75000
    -8.75000     37.75000      2.75000
    -8.25000     37.75000      2.75000
    -7.75000     37.75000      5.75000
    -7.25000     37.75000      5.75000
    -6.75000     37.75000      3.75000
    -6.25000     37.75000      4.75000
    -5.75000     37.75000      8.25000
    -5.25000     37.75000      6.25000
    -4.75000     37.75000      5.25000
    -4.25000     37.75000      4.25000
    -3.75000     37.75000      7.75000
    -3.25000     37.75000      3.75000
    -2.75000     37.75000      6.25000
    -2.25000     37.75000      5.75000
    -1.75000     37.75000      5.75000
    -1.25000     37.75000      5.75000
    -0.75000     37.75000      7.25000
    -0.25000     37.75000      5.25000
     0.25000     37.75000      7.25000
     0.75000     37.75000      7.25000
     1.25000     37.75000      4.75000
     1.75000     37.75000      6.25000
     2.25000     37.75000      5.75000
     2.75000     37.75000      5.75000
     3.25000     37.75000      5.25000
     3.75000     37.75000      4.25000
     4.25000     37.75000      4.25000
     4.75000     37.75000      4.25000
     5.25000     37.75000      1.75000
     5.75000     37.75000      3.75000
     6.25000     37.75000      2.25000
     6.75000     37.75000      0.25000
     7.25000     37.75000      0.25000
     7.75000     37.75000      0.75000
     8.25000     37.75000      0.75000
     8.75000     37.75000     -0.25000
     9.25000     37.75000     -0.75000
     9.75000     37.75000      0.25000
    10.25000     37.75000     -0.75000
    10.75000     37.75000      1.25000
    11.25000     37.75000     -3.25000
    11.75000     37.75000     -2.75000
    12.25000     37.75000      3.75000
    12.75000     37.75000      2.25000
    13.25000     37.75000      2.75000
    13.75000     38.25000      3.25000
    14.25000     37.75000      5.25000
    14.75000     37.75000      3.25000
    15.25000     37.75000      3.75000
    15.75000     37.75000      6.25000
    16.25000     37.75000      5.25000
    16.75000     37.75000      6.25000
    17.25000     37.75000      5.25000
    17.75000     37.75000      7.25000
    18.25000     37.75000      8.25000
    18.75000     37.75000      8.25000
    19.25000     37.75000     10.75000
    19.75000     37.75000     10.25000
    20.25000     37.75000     11.25000
    20.75000     37.75000     11.75000
    21.25000     37.75000     11.25000
    21.75000     38.25000     14.75000
    22.25000     37.75000     14.75000
    22.75000     37.75000     15.25000
    23.25000     37.75000     15.75000
    23.75000     37.75000     15.75000
    24.25000     37.75000     17.25000
    24.75000     37.75000     16.75000
    25.25000     37.75000     17.25000
    25.75000     37.75000     18.25000
    26.25000     37.75000     16.75000
    26.75000     37.75000     17.25000
    27.25000     37.75000     19.25000
    27.75000     37.75000     18.75000
    28.25000     37.75000     18.75000
    28.75000     37.75000     18.75000
    29.25000     37.75000     18.25000
    29.75000     37.75000     20.25000
    30.25000     37.75000     19.75000
    30.75000     37.75000     19.75000
    31.25000     37.75000     20.25000
    31.75000     37.75000     19.25000
    32.25000     37.75000     21.75000
    32.75000     37.75000     21.25000
    33.25000     37.75000     22.75000
    33.75000     37.75000     24.25000
    34.25000     37.75000     22.75000
    34.75000     37.75000     23.25000
    35.25000     37.75000     22.75000
    35.75000     37.75000     25.25000
    36.25000     37.75000     25.75000
    36.75000     37.75000     21.75000
    37.25000     38.25000     27.25000
    37.75000     38.25000     25.75000
    38.25000     37.75000     24.75000
    38.75000     37.75000     24.75000
    39.25000     38.25000     27.75000
    39.75000     37.75000     27.25000
    40.25000     37.75000     27.25000
    40.75000     37.75000     28.25000
    41.25000     37.75000     30.75000
    41.75000     37.75000     29.25000
    42.25000     37.75000     30.25000
    42.75000     37.75000     30.75000
    43.25000     37.75000     32.75000
    43.75000     37.75000     33.75000
    44.25000     37.75000     31.75000
    44.75000     37.75000     35.25000
    45.25000     37.75000     36.75000
    45.75000     37.75000     33.75000
    46.25000     37.75000     35.25000
    46.75000     37.75000     37.25000
    47.25000     37.75000     37.75000
    47.75000     37.75000     37.75000
    48.25000     38.25000     36.75000
    48.75000     37.75000     41.25000
    49.25000     37.75000     41.25000
    49.75000     38.25000     40.25000
    50.25000     37.75000     40.75000
    50.75000     37.75000     40.25000
    51.25000     37.75000     40.25000
    51.75000     37.75000     42.75000
    52.25000     37.75000     42.75000
    52.75000     37.75000     42.75000
    53.25000     37.75000     38.25000
    53.75000     37.75000     42.25000
    54.25000     37.75000     40.25000
    54.75000     37.75000     40.75000
    55.25000     37.75000     41.25000
    55.75000     37.75000     43.25000
    56.25000     38.25000     42.75000
    56.75000     37.75000     46.75000
    57.25000     37.75000     44.75000
    57.75000     37.75000     47.25000
    58.25000     37.75000     45.25000
    58.75000     37.75000     45.75000
    59.25000     37.75000     48.25000
    59.75000     37.75000     50.75000
    60.25000     37.75000     48.25000
    60.75000     37.75000     49.25000
    61.25000     37.75000     41.25000
    61.75000     37.75000     49.75000
    62.25000     37.75000     47.25000
    62.75000     37.75000     45.25000
    63.25000     37.75000     43.75000
    63.75000     37.75000     47.75000
    64.25000     37.75000     46.25000
    64.75000     37.75000     49.75000
    65.25000     37.75000     44.75000
    65.75000     37.75000     48.25000
    66.25000     37.75000     47.25000
    66.75000     37.75000     51.25000
    67.25000     37.75000     45.75000
    67.75000     37.75000     47.75000
    68.25000     37.75000     49.25000
    68.75000     37.75000     49.75000
    69.25000     37.75000     52.25000
    69.75000     37.75000     49.75000
    70.25000     37.75000     48.25000
    70.75000     37.75000     49.25000
    71.25000     37.75000     46.25000
    71.75000     37.75000     44.75000
    72.25000     37.75000     48.75000
    72.75000     37.75000     48.25000
    73.25000     37.75000     49.25000
    73.75000     37.75000     48.75000
    74.25000     37.75000     52.25000
    74.75000     37.75000     53.25000
    75.25000     37.75000     54.25000
    75.75000     37.75000     50.25000
    76.25000     37.75000     51.75000
    76.75000     37.75000     48.75000
    77.25000     37.75000     55.75000
    77.75000     37.75000     49.25000
    78.25000     37.75000     49.75000
    78.75000     37.75000     44.25000
    79.25000     37.75000     50.75000
    79.75000     37.75000     51.25000
    80.25000     37.75000     49.25000
    80.75000     38.25000     56.75000
    81.25000     37.75000     46.75000
    81.75000     37.75000     45.75000
    82.25000     37.75000     46.25000
    82.75000     37.75000     52.25000
    83.25000     37.75000     49.25000
    83.75000     37.75000     52.25000
    84.25000     37.75000     53.25000
    84.75000     37.75000     52.25000
    85.25000     37.75000     56.75000
    85.75000     37.75000     53.25000
    86.25000     37.75000     48.25000
    86.75000     37.75000     54.25000
    87.25000     37.75000     49.75000
    87.75000     37.75000     51.75000
    88.25000     37.75000     54.75000
    88.75000     37.75000     52.25000
    89.25000     37.75000     54.25000
    89.75000     38.25000     49.25000
    90.25000     37.75000     49.75000
    90.75000     38.25000     52.25000
    91.25000     37.75000     47.25000
    91.75000     37.75000     50.25000
    92.25000     37.75000     56.75000
    92.75000     37.75000     51.25000
    93.25000     37.75000     42.25000
    93.75000     37.75000     51.75000
    94.25000     37.75000     47.25000
    94.75000     37.75000     52.25000
    95.25000     37.75000     51.75000
    95.75000     37.75000     50.75000
    96.25000     37.75000     51.75000
    96.75000     37.75000     53.25000
    97.25000     37.75000     55.25000
    97.75000     37.75000     50.25000
    98.25000     37.75000     51.25000
    98.75000     37.75000     45.25000
    99.25000     38.25000     50.75000
    99.75000     37.75000     50.75000
   100.25000     37.75000     48.75000
   100.75000     37.75000     48.25000
   101.25000     37.75000     49.75000
   101.75000     38.25000     44.75000
   102.25000     37.75000     50.25000
   102.75000     37.75000     52.25000
   103.25000     37.75000     48.25000
   103.75000     37.75000     47.75000
   104.25000     37.75000     55.25000
   104.75000     38.25000     47.25000
   105.25000     37.75000     47.75000
   105.75000     37.75000     54.75000
   106.25000     37.75000     46.75000
   106.75000     38.25000     53.25000
   107.25000     37.75000     51.75000
   107.75000     37.75000     48.25000
   108.25000     37.75000     50.25000
   108.75000     37.75000     47.25000
   109.25000     37.75000     45.75000
   109.75000     37.75000     44.75000
   110.25000     37.75000     50.25000
   110.75000     37.75000     43.25000
   111.25000     37.75000     47.75000
   111.75000     38.25000     53.75000
   112.25000     37.75000     45.25000
   112.75000     37.75000     43.25000
   113.25000     37.75000     44.75000
   113.75000     37.75000     45.75000
   114.25000     37.75000     45.75000
   114.75000     37.75000     48.25000
   115.25000     37.75000     41.25000
   115.75000     37.75000     39.75000
   116.25000     37.75000     43.25000
   116.75000     38.25000     46.25000
   117.25000     37.75000     46.25000
   117.75000     37.75000     43.25000
   118.25000     37.75000     41.75000
   118.75000     37.75000     43.25000
   119.25000     38.25000     46.75000
   119.75000     38.25000     36.25000
   120.25000     37.75000     42.75000
   120.75000     37.75000     32.25000
   121.25000     38.25000     42.75000
   121.75000     37.75000     40.75000
   122.25000     37.75000     40.75000
   122.75000     37.75000     38.75000
   123.25000     37.75000     38.75000
   123.75000     37.75000     36.75000
   124.25000     38.25000     36.75000
   124.75000     37.75000     36.25000
   125.25000     37.75000     36.25000
   125.75000     37.75000     43.25000
   126.25000     37.75000     36.75000
   126.75000     37.75000     35.75000
   127.25000     37.75000     40.75000
   127.75000     37.75000     39.25000
   128.25000     37.75000     40.25000
   128.75000     37.75000     31.75000
   129.25000     37.75000     40.75000
   129.75000     37.75000     35.75000
   130.25000     37.75000     23.75000
   130.75000     37.75000     29.25000
   131.25000     37.75000     40.75000
   131.75000     37.75000     32.75000
   132.25000     37.75000     27.25000
   132.75000     37.75000     34.25000
   133.25000     37.75000     33.25000
   133.75000     37.75000     27.25000
   134.25000     37.75000     40.75000
   134.75000     37.75000     24.75000
   135.25000     37.75000     21.25000
   135.75000     37.75000     25.25000
   136.25000     37.75000     26.75000
   136.75000     37.75000     32.25000
   137.25000     37.75000     26.25000
   137.75000     37.75000     21.75000
   138.25000     37.75000     26.75000
   138.75000     37.75000     20.25000
   139.25000     37.75000     23.75000
   139.75000     37.75000     19.25000
   140.25000     38.25000     27.75000
   140.75000     37.75000     28.25000
   141.25000     37.75000     20.75000
   141.75000     38.25000     26.25000
   142.25000     37.75000     25.75000
   142.75000     37.75000     25.75000
   143.25000     37.75000     21.75000
   143.75000     37.75000     30.25000
   144.25000     37.75000     41.25000
   144.75000     38.25000     17.75000
   145.25000     37.75000     23.25000
   145.75000     37.75000     23.25000
   146.25000     37.75000     19.25000
   146.75000     37.75000      7.25000
   147.25000     37.75000     30.25000
   147.75000     37.75000     33.25000
   148.25000     37.75000     11.25000
   148.75000     38.25000     13.75000
   149.25000     37.75000     13.75000
   149.75000     37.75000     21.25000
   150.25000     37.75000     11.75000
   150.75000     37.75000     22.25000
   151.25000     37.75000     14.25000
   151.75000     37.75000     24.75000
   152.25000     37.75000     10.75000
   152.75000     37.75000     15.25000
   153.25000     37.75000     26.75000
   153.75000     37.75000     10.75000
   154.25000     37.75000     14.75000
   154.75000     37.75000     16.25000
   155.25000     37.75000      8.25000
   155.75000     37.75000     16.75000
   156.25000     37.75000     13.25000
   156.75000     37.75000     15.25000
   157.25000     37.75000     19.25000
   157.75000     37.75000     -3.75000
   158.25000     37.75000      2.25000
   158.75000     37.75000      6.75000
   159.25000     37.75000    -37.25000
   159.75000     31.25000          nan
